Empresa;Consumo 01/2020;Consumo 02/2020;Consumo 03/2020;Consumo 04/2020;Consumo 05/2020;Consumo 06/2020;Consumo 07/2020;Consumo 08/2020;Consumo 09/2020;Consumo 10/2020;Consumo 11/2020;Consumo 12/2020;Email do responsavel
Empresa 21;92,5;191,2;377,6;762,4;1475,2;2931,2;1693,2;776,05;396,525;206,064;99,958;85,41;ligula.Nullam@ornarelectus.ca
Empresa 22;96,5;197,4;383,2;728,8;1600;3036,8;1677,9;827,05;411,4;210,94;100,912;82,62;justo.nec.ante@portaelit.org
Empresa 23;96,2;191,8;360,4;720,8;1558,4;2985,6;1587,8;807,5;402,475;195,676;100,17;85,77;laoreet@posuerecubiliaCurae.org
Empresa 24;90,5;196,2;390,4;772,8;1593,6;3168;1599,7;774,35;415,65;208,396;98,898;83,34;Fusce@gravidamaurisut.com
Empresa 25;92,5;183,6;361,2;779,2;1507,2;2934,4;1667,7;770,95;401,2;201,824;100,276;82,89;sed.hendrerit@diam.ca
Empresa 26;98,5;189,2;378,4;774,4;1539,2;3148,8;1689,8;771,8;385,05;203,096;105,258;85,59;dui.Cras@commodo.com
Empresa 27;96,3;196,2;390,8;788;1555,2;3174,4;1548,7;783,7;383,775;202,036;99,322;84,24;urna.justo.faucibus@consectetuermaurisid.edu
Empresa 28;91,1;186;365,6;723,2;1537,6;3110,4;1654,1;817,7;419,9;191,648;102,184;83,34;purus.in.molestie@Nullam.net
Empresa 29;90,4;188,2;374,4;728,8;1561,6;2969,6;1596,3;780,3;400,775;194,616;99,11;88,29;sagittis.Nullam.vitae@Pellentesqueutipsum.edu
Empresa 30;95;195,4;365,6;758,4;1539,2;3126,4;1684,7;815,15;409,7;210,092;100,488;85,32;iaculis.lacus@malesuada.com
Empresa 31;94,1;199,6;368,4;776,8;1494,4;3171,2;1625,2;783,7;393,125;192,708;102,078;88,2;convallis.est.vitae@laciniavitae.ca
Empresa 32;98,7;185,2;384,8;795,2;1488;3158,4;1689,8;849,15;389,725;199,916;104,198;83,25;mollis.Integer.tincidunt@elit.co.uk
Empresa 33;99,4;187,2;377,2;788;1456;3011,2;1609,9;838,1;409,275;210,092;103,032;87,12;Donec.consectetuer@lectusante.edu
Empresa 34;90,8;196,8;386,4;736,8;1465,6;3030,4;1611,6;820,25;420,75;209,244;96,354;88,83;placerat@consequatpurusMaecenas.com
Empresa 35;99,6;190,8;369,6;752,8;1494,4;3011,2;1547;824,5;390,575;205,852;100,7;83,25;porttitor@congueInscelerisque.ca
Empresa 36;98,1;193,2;383,2;725,6;1579,2;2892,8;1686,4;827,05;402,9;199,916;101,548;88,11;velit@ullamcorper.net
Empresa 37;97,1;181,4;366,4;756;1561,6;3027,2;1689,8;785,4;423,725;197,372;100,276;88,11;sagittis.augue.eu@metus.edu
Empresa 38;90,3;191,6;382,4;745,6;1478,4;3027,2;1538,5;766,7;403,325;197,584;96,884;84,69;pellentesque@eratEtiam.co.uk
Empresa 39;99,2;190,6;369,2;750,4;1465,6;2947,2;1591,2;810,05;398,225;204,58;103,88;83,07;lobortis@sitamet.ca
Empresa 40;94,3;195,4;370;764;1448;2985,6;1591,2;821,95;393,55;202,248;101,018;82,17;Phasellus@Nullatemporaugue.ca
Empresa 41;93,8;193;375,6;788;1534,4;2966,4;1667,7;788,8;416,925;203,52;102,926;89,1;faucibus.lectus.a@aliquam.ca
Empresa 42;97,4;180,8;379,2;749,6;1523,2;3052,8;1681,3;827,05;383,35;209,456;105,258;87,21;adipiscing.lacus@dictum.net
Empresa 43;97,4;185;381,2;784;1587,2;2966,4;1572,5;832,15;407,15;203,732;95,506;83,34;gravida@Nuncmauriselit.ca
Empresa 44;92;181,2;374,4;797,6;1448;2988,8;1667,7;795,6;419,05;202,248;96,778;87,66;elit.Nulla.facilisi@quam.net
Empresa 45;98,9;197,4;389,6;798,4;1484,8;2950,4;1635,4;827,05;411,4;195,464;99,534;89,37;senectus@Donec.edu
Empresa 46;96,1;188,4;394;745,6;1467,2;3129,6;1538,5;770,95;405,025;198,008;100,806;81,09;lobortis.mauris@ullamcorper.co.uk
Empresa 47;90,6;194,2;362,8;785,6;1483,2;3155,2;1674,5;798,15;382,925;203,944;99,746;81,9;nulla.Integer.vulputate@ligulaAliquamerat.edu
Empresa 48;90,9;193,2;378;794,4;1536;2947,2;1564;779,45;385,475;202,248;98,792;81,99;a.neque.Nullam@mieleifendegestas.edu
Empresa 49;97;182,4;372,4;725,6;1600;3072;1683;818,55;409,7;190,8;106;86,13;risus.Donec@quam.org
Empresa 50;92;193,6;382,4;731,2;1560;3017,6;1606,5;847,45;385,9;205,852;102,926;81,18;lobortis@vitaeodiosagittis.com
Empresa 51;92,1;200;386,4;764,8;1446,4;3187,2;1693,2;799,85;425;209,456;95,824;88,11;dictum@sem.net
Empresa 52;98,4;182,4;385,6;734,4;1489,6;2902,4;1655,8;813,45;402,05;209,668;101,336;82,8;orci@erateget.edu
Empresa 53;94,3;184,8;364,8;727,2;1520;2934,4;1548,7;841,5;390,575;201,612;100,912;84,15;condimentum@velitdui.ca
Empresa 54;94,7;199,8;375,6;794,4;1468,8;3040;1592,9;819,4;393,55;208,82;98,05;85,86;Duis.a.mi@Sedauctor.co.uk
Empresa 55;94,7;181,6;387,6;788,8;1580,8;3027,2;1552,1;771,8;411,4;207,336;98,58;89,91;adipiscing.lacus@nunc.ca
Empresa 56;91,7;194,8;379,6;730,4;1440;2912;1647,3;833,85;399,925;190,8;98,474;88,2;neque@velitAliquam.net
Empresa 57;90,3;195,6;390;752;1592;3040;1693,2;827,9;397,375;193,768;99,534;88,56;tellus@utlacusNulla.co.uk
Empresa 58;90,3;183,8;376;760;1526,4;3155,2;1557,2;770,1;417,35;198,432;100,064;83,79;In.tincidunt.congue@dignissimpharetra.com
Empresa 59;98;193,8;368;775,2;1456;3014,4;1547;765;399,5;194,404;104,94;88,92;Sed@Nullamvelitdui.ca
Empresa 60;90,3;190,4;374,4;792;1507,2;3043,2;1616,7;816,85;396,95;210,092;104,198;81,09;mi@Maurisutquam.edu
Empresa 61;93;182,6;380,8;726,4;1484,8;3152;1606,5;800,7;413,1;209,88;101,442;90;euismod.urna.Nullam@nuncIn.com
Empresa 62;92,3;189,6;377,2;792;1561,6;3046,4;1555,5;774,35;422,025;210,728;105,47;87,48;Quisque.varius@facilisisfacilisis.org
Empresa 63;97,7;182,4;386,4;762,4;1537,6;2889,6;1623,5;808,35;424,575;211,364;101,866;81,54;diam.eu.dolor@tristiquesenectus.com
Empresa 64;97,2;180,6;363,2;749,6;1483,2;3120;1655,8;776,05;387,6;207,76;101,442;81,09;nisl@Nullasempertellus.net
Empresa 65;91,1;192,4;395,6;753,6;1577,6;3017,6;1535,1;811,75;412,675;203,732;100,17;82,71;risus.Donec@acipsum.org
Empresa 66;94,4;198,2;363,6;800;1592;3139,2;1643,9;766,7;398,65;211,576;102,926;82,89;eu.euismod@Praesent.org
Empresa 67;96,9;198,4;391,6;724,8;1497,6;2947,2;1698,3;776,9;407,575;191,648;101,23;81,27;lobortis.tellus.justo@eu.ca
Empresa 68;90,8;185,4;371,6;775,2;1534,4;2963,2;1558,9;780,3;400,35;209,456;98,05;81,45;ut.pellentesque@Nullam.net
Empresa 69;91,4;194,8;367,2;789,6;1516,8;2908,8;1635,4;800,7;390,575;208,184;106;81,72;posuere@mauris.net
Empresa 70;98,3;194,8;399,6;740,8;1481,6;3193,6;1691,5;826,2;423,725;203,308;95,612;89,82;vel.convallis@ridiculusmus.com
Empresa 71;96,2;191;364;756,8;1459,2;3177,6;1599,7;814,3;391,425;199,916;100,912;86,67;rhoncus.id@nisl.com
Empresa 72;92,3;186;360;768;1483,2;3030,4;1536,8;835,55;406,725;196,948;105,788;81,18;molestie.arcu@magnisdisparturient.ca
Empresa 73;97,1;189;384,4;761,6;1596,8;2924,8;1613,3;780,3;420,325;201,612;101,548;89,28;elementum@ultriciesligula.ca
Empresa 74;98,7;184;384;721,6;1537,6;3081,6;1611,6;799,85;393,975;203,52;102,29;85,95;Nulla@diamdictum.co.uk
Empresa 75;99,1;185,6;385,2;767,2;1560;3136;1649;818,55;401,625;203,732;97,414;88,92;viverra.Donec.tempus@dictum.com
Empresa 76;94,7;194;371,6;726,4;1502,4;2956,8;1594,6;808,35;394,4;207,124;99,004;83,61;Cras@dapibus.ca
Empresa 77;93,9;188,4;388,8;786,4;1544;3196,8;1575,9;812,6;394,4;203,096;99,64;81,63;Curae.Phasellus.ornare@etliberoProin.com
Empresa 78;91,6;184,4;388,8;776;1462,4;2988,8;1567,4;765;416,925;206,7;96,354;84,87;ultrices.a@velitegestaslacinia.ca
Empresa 79;91,4;184,8;366;766,4;1532,8;3161,6;1604,8;844,05;408,85;210,304;103,032;82,26;mauris.Morbi.non@Etiamgravidamolestie.co.uk
Empresa 80;97,5;190,6;398,8;794,4;1598,4;3046,4;1564;834,7;385,9;199,28;104,092;85,5;Donec@dictumProin.net
Empresa 81;94,8;189,8;398;755,2;1459,2;2960;1645,6;822,8;400,35;195,04;96,036;85,23;Duis@laciniaatiaculis.com
Empresa 82;93,8;188,8;382,8;779,2;1576;2921,6;1676,2;775,2;390,575;207,972;95,4;88,38;cursus.in@Maurisvelturpis.org
Empresa 83;99,7;181,2;363,2;784,8;1484,8;3068,8;1552,1;797,3;411,825;197,796;103,88;86,22;magna.Phasellus@ante.co.uk
Empresa 84;95,8;183;364,8;796;1523,2;2934,4;1677,9;823,65;392,275;204,58;99,958;83,88;ut.ipsum.ac@sollicitudin.org
Empresa 85;94,2;181,2;372,4;779,2;1556,8;3168;1672,8;849,15;394,825;193,556;103,774;84,6;feugiat@viverra.co.uk
Empresa 86;93;199,8;395,2;747,2;1531,2;3145,6;1649;770,95;388,025;211,576;100,276;89,91;quis@dignissimMaecenas.com
Empresa 87;92,9;191,6;372,4;768,8;1440;2912;1686,4;839,8;420,325;209,032;96,884;84,87;dapibus.rutrum.justo@elitCurabitur.co.uk
Empresa 88;98,1;194;364,4;724;1504;3078,4;1569,1;838,1;424,15;211,788;103,774;81,36;Ut.tincidunt@nonummyFusce.edu
Empresa 89;94,4;187,4;365,2;760;1502,4;3033,6;1696,6;836,4;399,5;210,728;103,986;83,07;amet@ultrices.net
Empresa 90;93,2;196;396;797,6;1505,6;3056;1667,7;773,5;418,625;193,344;105,682;85,95;Duis.sit.amet@mi.ca
Empresa 91;97,2;200;374,4;796;1553,6;3196,8;1615;798,15;395,25;191,012;96,46;82,71;mauris.blandit@morbi.org
Empresa 92;96,4;195,2;394;800;1566,4;2912;1577,6;773,5;419,05;192,496;102,926;85,5;Nunc.mauris@laoreetlibero.net
Empresa 93;90,5;196,4;379,6;795,2;1569,6;3024;1536,8;796,45;414,375;201,188;105,152;81,54;imperdiet.erat@Vestibulumuteros.com
Empresa 94;93,1;183,4;362,4;729,6;1571,2;3075,2;1659,2;799;393,975;207,336;105,152;81,99;nec@Aliquamultricesiaculis.org
Empresa 95;99,5;187;390,8;748;1507,2;3084,8;1684,7;844,9;393,975;203,308;100,488;82,26;Aenean.eget@fermentummetusAenean.co.uk
Empresa 96;93,1;199,8;379,6;728,8;1467,2;2892,8;1676,2;767,55;384,625;211,152;96,142;82,17;facilisis@eratnonummyultricies.net
Empresa 97;98,7;183;397,6;785,6;1544;3129,6;1565,7;778,6;422,025;203,944;101,866;86,04;est@nonummyipsum.co.uk
Empresa 98;92;182;380,8;760,8;1539,2;2915,2;1691,5;846,6;393,975;190,8;97,626;89,28;Ut.tincidunt.orci@euismodac.edu
Empresa 99;90,4;186;396,8;772;1520;3142,4;1657,5;795,6;421,175;203,52;96,354;82,8;et@velitegestas.com
Empresa 100;97,6;182;369,2;738,4;1566,4;3020,8;1575,9;782,85;396,95;200,976;104,516;89,73;Proin.non@venenatis.net
